Model,Entity Type,Entity,Predicted,Actual
custom_model,EMAIL,imasample7@xxx.com,1,0
custom_model,EMAIL,imasample5@xxx.com,1,0
custom_model,EMAIL,imasample8@xxx.com,1,0
custom_model,EMAIL,imasample9@xxx.com,1,0
custom_model,EMAIL,imasample3@xxx.com,1,0
custom_model,EMAIL,imasample4@xxx.com,1,0
custom_model,EMAIL,imasample2@xxx.com,1,0
custom_model,ORG,UNIX,1,0
custom_model,ORG,Hardware & Software,1,0
custom_model,ORG,Customer Relations,1,0
custom_model,ORG,the Bellevue University Career Services Center,1,0
custom_model,ORG,Squadron Operation Superintendent,1,0
custom_model,ORG,Computer Support Technician/Intern,1,0
custom_model,ORG,Human Resources Administration,1,0
custom_model,ORG,Gold Star Chapter,1,0
custom_model,ORG,3.84/4.00 Graduated,1,0
custom_model,ORG,Crisis Center Inc & Family Violence Coalition,1,0
custom_model,ORG,Bishop Clarkson Hospital,1,0
custom_model,ORG,Varsity Baseball Team,1,0
custom_model,ORG,U.S. Savings Bond Drive,1,0
custom_model,ORG,Bellevue University Student Newspaper Volunteer,1,0
custom_model,ORG,Central Community College,1,0
custom_model,ORG,Nebraska 68123,1,0
custom_model,ORG,Publicity Committee,1,0
custom_model,ORG,Bergen Mercy Hospital,1,0
custom_model,ORG,Computer Programming Electronic Computer Programming Institute,1,0
custom_model,ORG,Information Systems Analysis,1,0
custom_model,ORG,Council Bluffs,1,0
custom_model,ORG,MS Access Applications,1,0
custom_model,ORG,Criminal Justice/Shelter Advocate,1,0
custom_model,ORG,Programmer/Analyst,1,0
custom_model,ORG,the Center Employment Trainer,1,0
custom_model,ORG,Visual Basic,1,0
custom_model,ORG,Accounting Coordinator,1,0
custom_model,ORG,Student Intern,1,0
custom_model,ORG,Financial Management  Developed,1,0
custom_model,ORG,ASP,1,0
custom_model,ORG, Certified as Master Instructor,1,0
custom_model,ORG,Air Training Command Instructor,1,0
custom_model,ORG,Research Methods & Psychological Research Social,1,0
custom_model,ORG,Omaha Public Power District,1,0
custom_model,ORG,Bellevue NE Expected,1,0
custom_model,ORG,Summer Research Enrichment Program,1,0
custom_model,ORG,Rehabilitation Specialist,1,0
custom_model,ORG,Data Analysis,1,0
custom_model,ORG,Calculus & Mathematical Analysis,1,0
custom_model,ORG,Nebraska 68803,1,0
custom_model,ORG,Incentive Awards,1,0
custom_model,ORG,Business Administration,1,0
custom_model,ORG,TQM,1,0
custom_model,ORG,Bellevue University Student Chapter  Chair,1,0
custom_model,ORG,Program Development Committee,1,0
custom_model,ORG,Bellevue University Student Advisory Council,1,0
custom_model,ORG,Greater NE Goodwill Industries,1,0
custom_model,ORG,Brushup Nebraska Paint-A-Thon,1,0
custom_model,ORG,Financial Accounting Development Program,1,0
custom_model,ORG,Customer Service Supervisor,1,0
custom_model,ORG,Science,1,0
custom_model,ORG,Bellevue University,1,0
custom_model,ORG,PeopleSoft,1,0
custom_model,ORG, Recognized as Information Systems Employee,1,0
custom_model,ORG,VOLUNTEER/COMMUNITY,1,0
custom_model,ORG,Relational Database Management Microcomputer Graphics/Mapping MS,1,0
custom_model,ORG,Operations Software Development Systems Design,1,0
custom_model,ORG,Bellevue University,1,0
custom_model,ORG,Bellevue Boys Club,1,0
custom_model,ORG,First United Methodist Church,1,0
custom_model,ORG,Union Pacific Railroad,1,0
custom_model,ORG,Human & Social Service Administration,1,0
custom_model,ORG,American Business Women's Association,1,0
custom_model,ORG,Department of Defense,1,0
custom_model,ORG,Customer Relations Technical,1,0
custom_model,ORG,Assisted the Center,1,0
custom_model,ORG,Customer Service Representative,1,0
custom_model,ORG,Behavioral and Social Sciences Student Organization,1,0
custom_model,ORG,Networking Bellevue University,1,0
custom_model,ORG,the Air Force,1,0
custom_model,ORG,MS Office,1,0
custom_model,ORG,Concentration in Management Information Systems,1,0
custom_model,ORG,Bellevue University Computer Lab Newsletter,1,0
custom_model,ORG,Computer Skills: MS,1,0
custom_model,ORG,Guidance & Counseling Personality Theory Psychological Assessment Learning Theory,1,0
custom_model,ORG,MS Access,1,0
custom_model,ORG,Digital,1,0
custom_model,ORG,American Colleges,1,0
custom_model,ORG,PHP Scripting,1,0
custom_model,ORG,Human/Social Service Administration,1,0
custom_model,ORG,Linux Management & Design,1,0
custom_model,ORG,Women’s Health Services,1,0
custom_model,ORG,GPA,1,0
custom_model,ORG,4.00/4.00 Dean’s Scholar Certificate,1,0
custom_model,ORG,Sales Associate & Machinist,1,0
custom_model,ORG,Operated IBM,1,0
custom_model,ORG,IMA,1,0
custom_model,ORG,Nebraska 68134,1,0
custom_model,ORG,Microsoft Word,1,0
custom_model,ORG,Management Information Systems,1,0
custom_model,ORG,Bellevue University Student Newspaper,1,0
custom_model,ORG,Nebraska Special Olympics,1,0
custom_model,ORG,Social Services,1,0
custom_model,ORG,Central NE Goodwill Industries,1,0
custom_model,ORG,Inferential Statistics,1,0
custom_model,ORG,Financial Systems,1,0
custom_model,ORG,MS Project PROFESSIONAL,1,0
custom_model,ORG,SMC,1,0
custom_model,ORG,Inc,1,0
custom_model,ORG,Bellevue University Student Chapter COMPUTER,1,0
custom_model,ORG,Iowa Western Community College,1,0
custom_model,ORG,Lincoln Financial Group,1,0
custom_model,ORG,Computer Information Systems,1,0
custom_model,ORG,Mental Illness,1,0
custom_model,ORG,Stress Management,1,0
custom_model,ORG,Metropolitan Community College,1,0
custom_model,ORG,PL/SQL,1,0
custom_model,ORG,Tiffany Square Care Center,1,0
custom_model,ORG,4.00/4.00 Dean’s,1,0
custom_model,ORG,Writing Tutor and Test Administrator,1,0
custom_model,ORG,Human Resources Intern,1,0
custom_model,ORG,Operations Management Project Management Quality Management Mainframe,1,0
custom_model,ORG,Society for Human Resources Management,1,0
custom_model,ORG,Intern-Market Research,1,0
custom_model,ORG,Career Services Center,1,0
custom_model,ORG,University of Nebraska Medical Center,1,0
custom_model,ORG,Visual Basic,1,0
custom_model,ORG,COBOL Windows,1,0
custom_model,PERSON,Jerome Fisher,1,0
custom_model,PERSON,Wharton Dean’s,1,0
custom_model,PERSON,Badminton,1,0
custom_model,PERSON,Java,1,0
custom_model,PERSON,Pava,1,0
custom_model,PERSON,• Worked,1,0
custom_model,PERSON,Lane,1,0
custom_model,PERSON,Head Boy,1,0
custom_model,PERSON,Arduino,1,0
custom_model,PERSON,Penn,1,0
custom_model,PERSON,Matt Smith,1,0
custom_model,PERSON,Developed,1,0
custom_model,PERSON,Soccer,1,0
custom_model,EMAIL,student@wharton.upenn.edu,1,0
custom_model,ORG,Computer Science,1,0
custom_model,ORG,University of Pennsylvania,1,0
custom_model,ORG,• AS Levels: Further,1,0
custom_model,ORG,UAE U-17 National Cricket Team Player,1,0
custom_model,ORG,Harnwell College House,1,0
custom_model,ORG,Microsoft Office,1,0
custom_model,ORG,Management & Technology Summer Institute,1,0
custom_model,ORG,School Address,1,0
custom_model,ORG,Dubai College,1,0
custom_model,ORG,• Selected,1,0
custom_model,ORG,MVP DC,1,0
custom_model,ORG,Dubai College Senior Cricket Team,1,0
custom_model,ORG,UAE U-19 National Cricket Team,1,0
custom_model,ORG,Penn Cricket Club,1,0
custom_model,ORG,Wharton Small Business Development Center,1,0
custom_model,ORG,Penn • Coordinated,1,0
custom_model,ORG,Management and Technology Philadelphia,1,0
custom_model,ORG,The Wharton School,1,0
custom_model,ORG,Dubai College Cricket,1,0
custom_model,ORG,• Cumulative GPA,1,0
custom_model,ORG,Full Time Equivalents,1,0
custom_model,ORG,MVP American College Cricket Ivy League Championship,1,0
custom_model,ORG,Developed Excel,1,0
custom_model,PERSON,Hamilton Ave,1,0
custom_model,PERSON,Philadelphia,1,0
custom_model,PERSON,Kaplan,1,0
custom_model,PERSON,Lymphoproliferation Assay,1,0
custom_model,PERSON,Kensington,1,0
custom_model,PERSON,Peoplesoft,1,0
custom_model,PERSON,Hospital Volunteer,1,0
custom_model,PERSON,Tissue Harvest,1,0
custom_model,PERSON,ELISA,1,0
custom_model,PERSON,LEE BIO,1,0
custom_model,PERSON,Worked,1,0
custom_model,PERSON,Developed,1,0
custom_model,PERSON,Agarose Gel Electrophoresis,1,0
custom_model,EMAIL,biostudent@sas.upenn.edu,1,0
custom_model,ORG,Primer Design,1,0
custom_model,ORG,Mentoring Program Coordinator,1,0
custom_model,ORG,Children’s Hospital,1,0
custom_model,ORG,Biological Basis of Behavior,1,0
custom_model,ORG,MS Excel and Access OTHER EXPERIENCE,1,0
custom_model,ORG,Microsoft Office,1,0
custom_model,ORG,Retro-Orbital Bleeds,1,0
custom_model,ORG,King’s College London,1,0
custom_model,ORG,House,1,0
custom_model,ORG,Assisted House Board,1,0
custom_model,ORG,Journey Christian Fellowship,1,0
custom_model,ORG,Amigos de las Americas,1,0
custom_model,ORG,University of Pennsylvania Fall,1,0
custom_model,ORG,Clinical Research Assistant Philadelphia,1,0
custom_model,ORG,Inner-City,1,0
custom_model,ORG,University of Pennsylvania Philadelphia,1,0
custom_model,ORG,Restriction Enzyme Digestion,1,0
custom_model,ORG,Flow Cytometry,1,0
custom_model,ORG,University of London,1,0
custom_model,ORG,English College House,1,0
custom_model,ORG,Summer Missions Exposure,1,0
custom_model,ORG,PA Department of Otorhinolaryngology,1,0
custom_model,ORG,King’s Court,1,0
custom_model,ORG,University of Pennsylvania School of Medicine,1,0
custom_model,PERSON,Java,1,0
custom_model,PERSON,Volunteer,1,0
custom_model,PERSON,Flash,1,0
custom_model,PERSON,Wharton,1,0
custom_model,PERSON,Graduated Cum Laude,1,0
custom_model,PERSON,JavaScript,1,0
custom_model,PERSON,Chestnut Street,1,0
custom_model,PERSON,Ruby Significant,1,0
custom_model,PERSON,Skilled Programmer,1,0
custom_model,PERSON,Cloud Computing,1,0
custom_model,PERSON,William Penn,1,0
custom_model,PERSON,Patricia Venti,1,0
custom_model,PERSON,Intro,1,0
custom_model,PERSON,ANN TAYLOR LOFT,1,0
custom_model,PERSON,Shell Scripting,1,0
custom_model,PERSON,Algorithms,1,0
custom_model,PERSON,Mobile Apps,1,0
custom_model,PERSON,Ronald McDonald House,1,0
custom_model,PERSON,Haskell,1,0
custom_model,EMAIL,patriciaventi@seas.upenn.edu,1,0
custom_model,ORG,Mathematical Foundations,1,0
custom_model,ORG,University of Pennsylvania,1,0
custom_model,ORG,Interactive Technology,1,0
custom_model,ORG,Innovation,1,0
custom_model,ORG,• Organized digital marketing,1,0
custom_model,ORG,HTML,1,0
custom_model,ORG,Content Marketing Intern,1,0
custom_model,ORG,Society of Women Engineers,1,0
custom_model,ORG,DIGITAL,1,0
custom_model,ORG,School of Engineering,1,0
custom_model,ORG,Applied Science,1,0
custom_model,ORG,PHP,1,0
custom_model,ORG,Social Networks,1,0
custom_model,ORG,UNIVERSITY OF PENNSYLVANIA,1,0
custom_model,ORG,Networked Systems,1,0
custom_model,ORG,NY June 2018,1,0
custom_model,ORG,the College & Marketing,1,0
custom_model,ORG,Performance Marketing Department,1,0
custom_model,ORG,Data Structures/Algorithms,1,0
custom_model,ORG,Academy Track & Field,1,0
custom_model,ORG,OpenStack,1,0
custom_model,ORG,Dynamic Systems,1,0
custom_model,ORG,Networked & Social Systems,1,0
custom_model,ORG,• Created,1,0
custom_model,ORG,Artificial Intelligence,1,0
custom_model,ORG,CSS,1,0
custom_model,ORG,Big Data,1,0
custom_model,ORG,• Updated,1,0
custom_model,PERSON,Git,1,0
custom_model,PERSON,AdWords,1,0
custom_model,PERSON,Vector Calculus,1,0
custom_model,PERSON,Volunteer,1,0
custom_model,PERSON,Java,1,0
custom_model,PERSON,Sofia B. Good,1,0
custom_model,PERSON,C++,1,0
custom_model,PERSON,Stack,1,0
custom_model,PERSON,Linear Algebra,1,0
custom_model,PERSON,Penn,1,0
custom_model,PERSON,Webmaster,1,0
custom_model,PERSON,JavaScript,1,0
custom_model,PERSON,Nashville,1,0
custom_model,EMAIL,sofiagood@seas.upenn.edu,1,0
custom_model,ORG,Differential Equations,1,0
custom_model,ORG,Computer Science,1,0
custom_model,ORG,West Chester Health System,1,0
custom_model,ORG,University of Pennsylvania,1,0
custom_model,ORG,HONORS & ACTIVITIES,1,0
custom_model,ORG,LEADERSHIP & VOLUNTEER,1,0
custom_model,ORG,• Wrote requirements,1,0
custom_model,ORG,Data Structures,1,0
custom_model,ORG,Intro CS Tutor,1,0
custom_model,ORG,HTML,1,0
custom_model,ORG,GOOGLE,1,0
custom_model,ORG,• Elected Social Chair,1,0
custom_model,ORG,• Launched Google+ Stories,1,0
custom_model,ORG,Linux/Python/SQL,1,0
custom_model,ORG,Operating Systems,1,0
custom_model,ORG,• Conducted,1,0
custom_model,ORG,PennApps,1,0
custom_model,ORG,LaTeX,1,0
custom_model,ORG,• Collaborated,1,0
custom_model,ORG,IBM BlueMix,1,0
custom_model,ORG,Next Tech,1,0
custom_model,ORG,School of Engineering & Applied Science – Philadelphia,1,0
custom_model,ORG,• Tutored computer,1,0
custom_model,ORG,Node.js,1,0
custom_model,ORG,• Developed,1,0
custom_model,ORG,ABC,1,0
custom_model,ORG,• Utilized Node.js,1,0
custom_model,ORG,MongoDB,1,0
custom_model,ORG,HTML/CSS,1,0
custom_model,ORG,Programming Languages & Techniques,1,0
custom_model,ORG,• Created,1,0
custom_model,ORG,Private Piano Tutor,1,0
custom_model,ORG,• Serve,1,0
custom_model,ORG,Rehabilitation Robotics Lab,1,0
custom_model,ORG,Artificial Intelligence,1,0
custom_model,ORG,Google Prediction API,1,0
custom_model,ORG,Product/Tech Intern,1,0
custom_model,ORG,Tau Beta Pi,1,0
custom_model,ORG,CSS,1,0
custom_model,ORG,Walnut Street • Philadelphia,1,0
custom_model,ORG,• Formalized,1,0
custom_model,PERSON,GPA:3.1,1,0
custom_model,PERSON,May,1,0
custom_model,PERSON,Hammond,1,0
custom_model,PERSON,Babysitter,1,0
custom_model,PERSON,Covington,1,0
custom_model,EMAIL,First.lastname@selu.edu,1,0
custom_model,ORG,SoutheasternLouisiana University ● Attended,1,0
custom_model,ORG,Parksand Recreation,1,0
custom_model,ORG,Southeastern Louisiana University,1,0
custom_model,ORG,LEADERSHIPEXPERIENCE Student Athlete,1,0
custom_model,ORG,WORKEXPERIENCE Dining RoomAttendant,1,0
custom_model,ORG,MicrosoftPowerPointand Excel,1,0
custom_model,ORG,SLU Food Services,1,0
custom_model,ORG,Basketball CampCoach/Coordinator,1,0
custom_model,ORG,Self-Employed,1,0
custom_model,ORG,CERTIFICATIONS &SKILLS ● CPR &,1,0
custom_model,ORG,Student-Athlete AdvisoryCommittee,1,0
custom_model,ORG,Volleyball Representative,1,0
custom_model,ORG,Southeastern LouisianaUniversity ● Selected,1,0
